Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Fwd Packet Length Mean,Bwd Packet Length Mean,Flow Bytes/s,label,Prediction,Severity
36815,3,1,46,66.58,69.89,602.89,normal,Benign,Low
5385,4,2,86,72.23,97.7,137.88,normal,Benign,Low
1531624,19,44,2401,651.67,425.29,10715.48,xss,Attack,High
10483,4,1,46,48.66,55.53,561.25,normal,Benign,Low
682910,43,61,2499,660.13,926.6,13529.55,lfi,Attack,High
14505,2,1,74,66.62,123.43,646.76,normal,Benign,Low
18217,4,2,109,25.3,76.39,733.36,normal,Benign,Low
1441296,12,31,1799,282.13,691.6,11267.83,sql_injection,Attack,High
26571,2,4,63,37.77,50.12,776.48,normal,Benign,Low
21170,1,4,160,33.78,63.77,217.75,normal,Benign,Low
33359,3,2,73,40.89,35.13,685.56,normal,Benign,Low
7017,3,1,124,49.93,79.96,90.29,normal,Benign,Low
1525000,44,63,1823,813.47,1081.6,11806.84,sql_injection,Attack,High
1739600,42,53,5358,395.77,1038.02,11171.23,normal,Attack,High
1240233,30,17,4281,741.51,408.39,20708.81,xss,Attack,High
492680,14,17,5268,443.36,955.16,13863.4,sql_injection,Attack,High
855342,20,27,3695,306.62,524.75,16709.68,normal,Attack,High
1579603,16,37,5456,679.35,571.88,18047.97,xss,Attack,High
11819,3,3,134,41.12,102.37,889.99,normal,Benign,Low
13723,4,3,93,22.36,88.98,525.08,normal,Benign,Low
20111,1,1,167,47.53,98.23,463.83,normal,Benign,Low
4003,2,4,92,82.64,84.44,861.57,normal,Benign,Low
19226,2,4,85,76.61,75.91,346.78,normal,Benign,Low
13352,4,1,150,89.13,127.4,721.15,normal,Benign,Low
17546,3,1,146,40.72,94.37,334.96,normal,Benign,Low
20016,3,4,162,36.13,32.16,135.89,normal,Benign,Low
879625,15,33,3101,387.39,636.08,24214.23,sql_injection,Attack,High
1693914,13,65,2430,505.5,927.93,11736.3,sql_injection,Attack,High
37044,2,1,166,18.68,101.78,283.49,normal,Benign,Low
5647,3,3,46,79.75,69.74,671.38,normal,Benign,Low
16082,1,2,59,17.37,48.19,464.72,normal,Benign,Low
1004519,26,27,4550,311.4,972.8,12760.12,xss,Attack,High
33794,3,4,67,68.13,118.12,446.92,normal,Benign,Low
1216499,23,29,3647,390.28,366.92,23879.66,lfi,Attack,High
1447082,12,56,3045,318.49,748.22,20641.6,lfi,Attack,High
10604,3,3,114,40.03,82.15,82.83,normal,Benign,Low
38802,4,1,109,15.12,54.61,551.92,normal,Benign,Low
17666,4,3,133,86.89,110.86,634.57,normal,Benign,Low
608430,24,17,5043,822.31,1069.2,7188.68,xss,Attack,High
1700221,38,18,1888,484.64,950.79,22123.74,sql_injection,Attack,High
35352,1,3,148,57.99,27.92,680.91,normal,Benign,Low
1415132,29,58,2408,845.71,796.57,11000.34,lfi,Attack,High
16050,4,3,139,47.62,77.69,685.62,normal,Benign,Low
438167,17,25,5359,798.64,1063.08,16183.38,xss,Attack,High
10819,3,1,130,55.71,104.54,680.3,normal,Benign,Low
21046,4,4,73,21.28,81.15,339.71,normal,Benign,Low
38626,2,3,44,20.36,47.3,106.36,normal,Benign,Low
822063,33,60,4813,846.86,1016.81,17498.02,normal,Attack,High
431980,42,39,4378,506.24,513.15,9540.48,sql_injection,Attack,High
1452293,15,61,5108,788.39,1027.67,6057.85,xss,Attack,High
651735,16,19,4646,788.28,573.1,12366.62,lfi,Attack,High
12778,3,1,129,69.71,116.04,204.3,normal,Benign,Low
1665539,21,32,1850,629.21,590.11,22012.42,lfi,Attack,High
1333063,14,38,3424,531.91,524.0,6835.38,normal,Attack,High
23516,4,1,42,49.6,81.5,733.02,normal,Benign,Low
18135,4,3,176,56.92,101.86,481.47,normal,Benign,Low
17558,4,3,111,26.33,85.74,812.74,normal,Benign,Low
9847,4,4,122,78.37,119.36,389.3,normal,Benign,Low
538610,22,58,3111,572.48,955.08,22996.6,sql_injection,Attack,High
1797210,45,18,3783,296.34,899.51,24413.72,sql_injection,Attack,High
39427,2,4,159,73.43,67.5,717.57,normal,Benign,Low
1015339,39,33,5099,841.31,774.03,10935.89,sql_injection,Attack,High
5465,3,3,124,51.15,86.38,530.42,normal,Benign,Low
5372,3,1,133,79.23,107.81,797.75,lfi,Benign,Low
1533124,19,36,1992,723.24,401.97,17347.23,lfi,Attack,High
22879,3,1,97,19.56,59.53,269.36,normal,Benign,Low
1609907,12,33,1448,504.17,565.84,20218.45,sql_injection,Attack,High
25481,4,4,60,87.52,83.13,811.02,normal,Benign,Low
938954,45,64,5420,467.57,882.82,10033.62,sql_injection,Attack,High
1472176,19,40,1840,701.05,610.8,14557.72,xss,Attack,High
944483,20,53,2599,308.85,647.72,9782.38,sql_injection,Attack,High
8761,4,2,89,15.44,102.61,741.07,normal,Benign,Low
22254,1,4,122,82.61,71.73,437.6,sql_injection,Benign,Low
1297568,44,58,1462,259.82,411.66,13487.2,lfi,Attack,High
6980,3,2,76,30.18,112.3,541.32,normal,Benign,Low
9120,1,3,103,78.06,55.76,289.89,normal,Benign,Low
15229,1,1,156,31.47,89.79,626.19,normal,Benign,Low
864602,33,42,3338,257.92,789.82,15953.49,sql_injection,Attack,High
22908,1,3,175,66.47,104.64,533.6,normal,Benign,Low
15499,2,2,152,44.42,62.86,713.99,normal,Benign,Low
6824,3,1,42,17.09,76.97,784.38,normal,Benign,Low
27820,3,3,154,20.07,26.43,435.72,normal,Benign,Low
1661867,35,53,3296,837.32,894.48,24112.3,xss,Attack,High
27219,2,1,94,67.32,78.17,709.2,normal,Benign,Low
36145,3,3,177,45.03,107.57,174.87,normal,Benign,Low
726850,37,48,2817,772.77,1016.03,23946.62,lfi,Attack,High
22186,3,4,137,31.32,108.37,368.98,lfi,Benign,Low
26916,2,1,93,46.17,79.46,253.27,normal,Benign,Low
37716,1,1,124,15.95,111.46,587.67,normal,Benign,Low
17995,3,4,106,51.61,127.98,298.13,normal,Benign,Low
17345,3,4,158,85.71,120.01,581.13,normal,Benign,Low
1256660,21,45,4320,662.66,704.84,9786.57,lfi,Attack,High
1574323,34,17,3152,459.08,443.39,23201.41,lfi,Attack,High
1315552,28,48,5024,679.55,1099.48,24131.64,normal,Attack,High
39778,3,2,86,47.77,99.25,888.04,normal,Benign,Low
27708,2,4,70,67.18,87.98,488.09,normal,Benign,Low
15147,2,3,169,47.1,56.86,765.99,normal,Benign,Low
1577886,36,64,1960,331.46,426.69,13542.62,normal,Attack,High
37811,4,2,126,43.37,25.25,733.23,normal,Benign,Low
11807,3,1,56,24.92,110.49,59.31,normal,Benign,Low
8016,1,2,168,37.79,62.09,853.41,sql_injection,Benign,Low
15045,1,1,111,80.47,78.71,246.27,normal,Benign,Low
32304,3,3,70,83.61,104.46,205.63,normal,Benign,Low
16393,2,2,126,36.89,70.18,147.07,normal,Benign,Low
1464920,13,52,1719,252.52,757.28,13434.55,lfi,Attack,High
7221,1,3,75,25.72,119.88,719.23,normal,Benign,Low
